date,BAC,dollar exchange rate,KOSPI,gold price,silver price,natural gas price
2023-12-01,33.67,1294.4,2655.28,2071.8,24.025,2.514
2023-11-01,30.49,1299.35,2535.29,2038.1,25.293,2.802
2023-10-01,26.34,1352.15,2277.99,1994.3,22.952,3.575
2023-09-01,27.38,1352.31,2465.07,1885.4,22.45,2.929
2023-08-01,28.67,1325.14,2556.27,1965.9,24.812,2.768
2023-07-01,32.0,1277.86,2632.58,2009.2,25.335,2.634
2023-06-01,28.69,1315.11,2564.28,1929.4,23.337,2.798
2023-05-01,27.79,1320.56,2577.12,1982.1,24.135,2.266
2023-04-01,29.28,1337.78,2501.53,2018.3,25.773,2.41
2023-03-01,28.6,1306.11,2476.86,2004.1,24.851,2.216
2023-02-01,34.3,1323.02,2412.85,1853.2,21.72,2.747
2023-01-01,35.48,1233.3,2425.08,1962.2,24.742,2.684
2022-12-01,33.12,1260.92,2236.4,1842.2,24.881,4.475
2022-11-01,37.85,1301.65,2472.53,1775.1,22.603,6.93
2022-10-01,36.04,1425.83,2293.61,1654.9,19.97,6.355
2022-09-01,30.2,1439.96,2155.49,1684.9,19.704,6.766
2022-08-01,33.61,1341.19,2472.05,1726.2,18.657,9.127
2022-07-01,33.81,1302.97,2451.5,1781.8,21.064,8.229
2022-06-01,31.13,1287.51,2332.64,1816.3,21.303,5.424
2022-05-01,37.2,1242.26,2685.9,1856.3,22.785,8.145
2022-04-01,35.68,1263.03,2695.05,1918.6,24.063,7.244
2022-03-01,41.22,1214.17,2757.65,1959.5,26.112,5.642
2022-02-01,44.2,1200.12,2699.18,1904.0,25.087,4.402
2022-01-01,46.14,1204.63,2663.34,1799.2,22.992,4.874
2021-12-01,44.49,1187.96,2977.65,1831.0,23.89,3.73
2021-11-01,44.47,1182.71,2839.01,1778.3,23.324,4.567
2021-10-01,47.78,1174.47,2970.68,1785.9,24.373,5.426
2021-09-01,42.45,1184.23,3068.82,1758.5,22.484,5.867
2021-08-01,41.75,1158.73,3199.27,1818.1,24.523,4.377
2021-07-01,38.36,1151.41,3202.32,1817.2,26.137,3.914
2021-06-01,41.23,1130.48,3296.68,1773.5,27.356,3.65
2021-05-01,42.39,1106.58,3203.92,1906.9,29.326,2.986
2021-04-01,40.53,1117.16,3147.86,1769.8,27.225,2.931
