gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,MonthlyCharges,Churn
Female,0,No,1,No,No phone service,No,29.85,0
Male,0,No,34,Yes,No,Yes,56.95,0
Male,0,No,2,Yes,No,Yes,53.85,1
Male,0,No,45,No,No phone service,Yes,42.3,0
Female,0,No,2,Yes,No,No,70.7,1
Female,0,No,8,Yes,Yes,No,99.65,1
Male,0,Yes,22,Yes,Yes,No,89.1,0
Female,0,No,10,No,No phone service,Yes,29.75,0
Female,0,No,28,Yes,Yes,No,104.8,1
Male,0,Yes,62,Yes,No,Yes,56.15,0
Male,0,Yes,13,Yes,No,Yes,49.95,0
Male,0,No,16,Yes,No,No internet service,18.95,0
Male,0,No,58,Yes,Yes,No,100.35,0
Male,0,No,49,Yes,Yes,No,103.7,1
Male,0,No,25,Yes,No,Yes,105.5,0
Female,0,Yes,69,Yes,Yes,Yes,113.25,0
Female,0,No,52,Yes,No,No internet service,20.65,0
Male,0,Yes,71,Yes,Yes,Yes,106.7,0
Female,0,Yes,10,Yes,No,No,55.2,1
Female,0,No,21,Yes,No,No,90.05,0
Male,1,No,1,No,No phone service,No,39.65,1
Male,0,No,12,Yes,No,No internet service,19.8,0
Male,0,No,1,Yes,No,No internet service,20.15,1
Female,0,No,58,Yes,Yes,No,59.9,0
Male,0,Yes,49,Yes,No,Yes,59.6,0
Female,0,No,30,Yes,No,Yes,55.3,0
Male,0,Yes,47,Yes,Yes,No,99.35,1
Male,0,Yes,1,No,No phone service,No,30.2,1
Male,0,No,72,Yes,Yes,Yes,90.25,0
Female,0,Yes,17,Yes,No,No,64.7,1
Female,1,No,71,Yes,Yes,Yes,96.35,0
Male,1,No,2,Yes,No,No,95.5,0
Female,0,Yes,27,Yes,No,Yes,66.15,0
Male,0,No,1,Yes,No,No internet service,20.2,0
Male,1,No,1,Yes,No,No,45.25,0
Female,0,Yes,72,Yes,Yes,Yes,99.9,0
Male,0,No,5,Yes,No,No,69.7,1
Female,0,No,46,Yes,No,No,74.8,0
Male,0,No,34,Yes,Yes,No,106.35,1
