date,BAC,dollar exchange rate,KOSPI,gold price,silver price,natural gas price
2023-12-01,33.67,"1,294.40","2,655.28","2,071.80",24.025,2.514
2023-11-01,30.49,"1,299.35","2,535.29","2,038.10",25.293,2.802
2023-10-01,26.34,"1,352.15","2,277.99","1,994.30",22.952,3.575
2023-09-01,27.38,"1,352.31","2,465.07","1,885.40",22.45,2.929
2023-08-01,28.67,"1,325.14","2,556.27","1,965.90",24.812,2.768
2023-07-01,32,"1,277.86","2,632.58","2,009.20",25.335,2.634
2023-06-01,28.69,"1,315.11","2,564.28","1,929.40",23.337,2.798
2023-05-01,27.79,"1,320.56","2,577.12","1,982.10",24.135,2.266
2023-04-01,29.28,"1,337.78","2,501.53","2,018.30",25.773,2.41
2023-03-01,28.6,"1,306.11","2,476.86","2,004.10",24.851,2.216
2023-02-01,34.3,"1,323.02","2,412.85","1,853.20",21.72,2.747
2023-01-01,35.48,"1,233.30","2,425.08","1,962.20",24.742,2.684
2022-12-01,33.12,"1,260.92","2,236.40","1,842.20",24.881,4.475
2022-11-01,37.85,"1,301.65","2,472.53","1,775.10",22.603,6.93
2022-10-01,36.04,"1,425.83","2,293.61","1,654.90",19.97,6.355
2022-09-01,30.2,"1,439.96","2,155.49","1,684.90",19.704,6.766
2022-08-01,33.61,"1,341.19","2,472.05","1,726.20",18.657,9.127
2022-07-01,33.81,"1,302.97","2,451.50","1,781.80",21.064,8.229
2022-06-01,31.13,"1,287.51","2,332.64","1,816.30",21.303,5.424
2022-05-01,37.2,"1,242.26","2,685.90","1,856.30",22.785,8.145
2022-04-01,35.68,"1,263.03","2,695.05","1,918.60",24.063,7.244
2022-03-01,41.22,"1,214.17","2,757.65","1,959.50",26.112,5.642
2022-02-01,44.2,"1,200.12","2,699.18","1,904.00",25.087,4.402
2022-01-01,46.14,"1,204.63","2,663.34","1,799.20",22.992,4.874
2021-12-01,44.49,"1,187.96","2,977.65","1,831.00",23.89,3.73
2021-11-01,44.47,"1,182.71","2,839.01","1,778.30",23.324,4.567
2021-10-01,47.78,"1,174.47","2,970.68","1,785.90",24.373,5.426
2021-09-01,42.45,"1,184.23","3,068.82","1,758.50",22.484,5.867
2021-08-01,41.75,"1,158.73","3,199.27","1,818.10",24.523,4.377
2021-07-01,38.36,"1,151.41","3,202.32","1,817.20",26.137,3.914
2021-06-01,41.23,"1,130.48","3,296.68","1,773.50",27.356,3.65
2021-05-01,42.39,"1,106.58","3,203.92","1,906.90",29.326,2.986
2021-04-01,40.53,"1,117.16","3,147.86","1,769.80",27.225,2.931
2021-03-01,38.69,"1,127.17","3,061.42","1,717.50",25.965,2.608
2021-02-01,34.71,"1,123.89","3,012.95","1,731.60",27.862,2.771
