직원ID,부서명,연봉,고객만족점수,근속년수,근무평가등급,교육참가시간수
EMP0001,IT,46007,8,15,A,61
EMP0002,고객지원,130724,4,1,A,40
EMP0003,인사,33214,7,29,C,39
EMP0004,영업,72082,10,14,B,60
EMP0005,재무,60600,8,5,D,61
EMP0006,고객지원,66244,1,30,B,31
EMP0007,재무,76815,10,28,D,50
EMP0008,인사,70912,6,29,D,70
EMP0009,영업,64583,10,29,D,27
EMP0010,IT,97218,4,14,C,67
EMP0011,고객지원,93481,8,3,D,67
EMP0012,마케팅,101567,2,10,A,85
EMP0013,마케팅,149819,3,20,C,15
EMP0014,인사,129861,2,12,A,25
EMP0015,영업,122530,5,15,A,35
EMP0016,마케팅,143058,6,21,A,32
EMP0017,마케팅,127749,7,23,A,12
EMP0018,고객지원,138647,7,29,A,36
EMP0019,IT,42269,8,27,D,79
EMP0020,IT,89922,5,11,A,10
EMP0021,인사,61820,2,18,C,21
EMP0022,재무,40225,2,2,D,16
EMP0023,IT,129741,5,20,D,48
EMP0024,마케팅,100221,8,20,B,45
EMP0025,마케팅,121479,4,22,B,80
EMP0026,고객지원,44820,10,27,A,13
EMP0027,인사,35826,3,11,C,21
EMP0028,고객지원,50556,7,11,B,54
EMP0029,마케팅,139969,8,30,D,76
EMP0030,고객지원,90208,9,14,B,35
EMP0031,IT,122530,8,11,B,87
EMP0032,IT,127749,4,16,D,59
EMP0033,영업,141898,6,2,D,82
EMP0034,마케팅,93518,10,16,B,33
EMP0035,인사,55704,3,8,A,93
EMP0036,고객지원,141362,8,29,A,67
EMP0037,재무,43832,4,7,D,91
EMP0038,재무,133095,5,1,B,10
EMP0039,IT,110433,5,20,C,26
EMP0040,고객지원,71058,3,13,C,97
EMP0041,재무,116099,9,5,D,37
EMP0042,재무,129403,9,14,B,28
EMP0043,영업,91112,2,18,A,12
EMP0044,IT,73716,8,1,D,48
EMP0045,재무,74359,8,7,B,15
EMP0046,고객지원,139426,6,14,B,65
EMP0047,마케팅,69502,2,1,A,16
EMP0048,고객지원,84069,2,25,D,86
EMP0049,재무,97274,3,19,B,98
EMP0050,마케팅,59992,9,,A,72
EMP0051,IT,74112,3,23,D,18
EMP0052,재무,37108,6,,B,62
EMP0053,IT,88947,10,22,C,46
EMP0054,재무,78936,9,22,D,55
EMP0055,영업,55704,10,17,A,17
EMP0056,재무,31812,2,14,A,16
EMP0057,재무,139969,9,24,A,27
EMP0058,IT,131551,7,8,C,83
EMP0059,인사,87243,8,28,B,49
