성별,나이,직업,이용 횟수,호선,지불방법
여성,40대,회사원,86,8호선,현금
남성,20대,기타,4,1호선,교통카드
여성,20대,기타,21,2호선,교통카드
여성,60대 이상,무직,31,4호선,교통카드
남성,60대 이상,무직,99,6호선,교통카드
남성,20대,회사원,30,7호선,교통카드
남성,30대,자영업,50,4호선,신용카드
여성,30대,회사원,45,8호선,신용카드
여성,30대,학생,14,2호선,신용카드
여성,50대,자영업,25,4호선,신용카드
남성,60대 이상,기타,53,9호선,현금
남성,30대,무직,57,5호선,교통카드
여성,10대,회사원,100,7호선,현금
여성,40대,학생,85,7호선,교통카드
여성,10대,회사원,16,5호선,교통카드
여성,40대,학생,48,3호선,교통카드
여성,20대,무직,22,7호선,신용카드
남성,20대,자영업,23,1호선,현금
남성,10대,무직,93,1호선,교통카드
여성,10대,기타,10,6호선,현금
남성,50대,회사원,34,5호선,신용카드
여성,60대 이상,무직,18,4호선,현금
남성,60대 이상,회사원,80,5호선,신용카드
여성,10대,회사원,76,8호선,현금
여성,10대,학생,76,2호선,신용카드
남성,10대,자영업,75,9호선,교통카드
남성,30대,회사원,34,3호선,현금
남성,20대,학생,63,3호선,현금
여성,40대,무직,66,3호선,현금
남성,30대,무직,87,5호선,신용카드
여성,60대 이상,자영업,48,8호선,현금
남성,40대,자영업,56,1호선,신용카드
남성,50대,기타,49,3호선,현금
여성,60대 이상,학생,36,4호선,교통카드
여성,50대,학생,76,9호선,현금
여성,40대,학생,54,7호선,현금
여성,10대,학생,26,8호선,신용카드
남성,50대,자영업,31,7호선,현금
남성,40대,기타,79,3호선,신용카드
여성,20대,기타,22,1호선,현금
여성,30대,회사원,69,6호선,현금
여성,60대 이상,기타,100,9호선,신용카드
여성,60대 이상,기타,37,7호선,신용카드
남성,20대,학생,77,3호선,현금
남성,40대,학생,73,4호선,신용카드
여성,40대,회사원,28,5호선,교통카드
여성,10대,자영업,100,1호선,교통카드
여성,20대,학생,14,5호선,현금
여성,40대,회사원,43,7호선,현금
여성,10대,회사원,32,2호선,교통카드
여성,20대,자영업,56,6호선,신용카드
여성,20대,기타,95,3호선,교통카드
남성,30대,회사원,91,6호선,신용카드
남성,50대,무직,32,2호선,교통카드
남성,50대,기타,82,4호선,신용카드
남성,50대,회사원,95,4호선,교통카드
남성,60대 이상,학생,99,2호선,교통카드
남성,10대,기타,73,3호선,신용카드
남성,10대,학생,36,6호선,신용카드
여성,10대,회사원,16,8호선,현금
남성,30대,무직,21,3호선,현금
남성,40대,학생,95,4호선,신용카드
여성,10대,학생,68,7호선,신용카드
여성,20대,학생,82,8호선,현금
여성,50대,회사원,10,1호선,신용카드
여성,10대,기타,30,1호선,교통카드
남성,20대,자영업,8,2호선,현금
남성,10대,회사원,77,3호선,현금
여성,50대,회사원,35,3호선,신용카드
여성,30대,회사원,38,2호선,신용카드
여성,50대,기타,88,1호선,현금
남성,40대,회사원,79,4호선,현금
여성,10대,자영업,83,8호선,현금
여성,10대,기타,78,4호선,현금
남성,40대,무직,99,1호선,교통카드
여성,50대,기타,86,7호선,현금
여성,20대,회사원,55,9호선,현금
남성,30대,자영업,18,7호선,현금
여성,10대,자영업,12,1호선,교통카드
남성,20대,기타,71,6호선,교통카드
여성,20대,자영업,62,9호선,신용카드
남성,20대,무직,42,9호선,교통카드
여성,60대 이상,회사원,63,3호선,교통카드
남성,20대,학생,33,1호선,신용카드
여성,60대 이상,자영업,33,9호선,신용카드
여성,30대,무직,72,3호선,신용카드
여성,20대,회사원,64,1호선,교통카드
여성,30대,자영업,93,6호선,신용카드
여성,60대 이상,자영업,72,7호선,교통카드
남성,50대,기타,27,5호선,교통카드
여성,30대,학생,37,2호선,신용카드
여성,30대,회사원,68,2호선,현금
여성,40대,회사원,11,9호선,신용카드
여성,60대 이상,회사원,77,1호선,교통카드
남성,60대 이상,무직,7,2호선,신용카드
여성,60대 이상,학생,42,4호선,교통카드
여성,20대,학생,48,6호선,교통카드
여성,40대,자영업,56,5호선,현금
남성,10대,무직,28,2호선,현금
여성,30대,자영업,37,5호선,현금
여성,60대 이상,무직,38,3호선,현금
남성,30대,자영업,61,5호선,현금
여성,10대,자영업,43,7호선,신용카드
남성,30대,자영업,76,8호선,신용카드
여성,40대,학생,25,9호선,교통카드
여성,20대,무직,37,3호선,현금
여성,40대,회사원,88,5호선,교통카드
여성,10대,학생,48,9호선,현금
남성,60대 이상,자영업,44,5호선,신용카드
여성,60대 이상,기타,10,8호선,현금
남성,30대,학생,16,3호선,현금
남성,30대,회사원,84,6호선,현금
여성,40대,학생,40,5호선,신용카드
남성,30대,기타,44,4호선,교통카드
여성,20대,무직,2,7호선,신용카드
남성,20대,기타,66,7호선,현금
여성,60대 이상,자영업,77,9호선,현금
남성,50대,자영업,34,5호선,신용카드
남성,50대,회사원,95,3호선,현금
여성,60대 이상,회사원,30,5호선,신용카드
여성,10대,회사원,100,2호선,현금
남성,20대,회사원,10,3호선,교통카드
여성,60대 이상,학생,39,8호선,현금
여성,50대,기타,84,4호선,현금
여성,60대 이상,자영업,76,4호선,교통카드
남성,30대,회사원,70,3호선,현금
여성,60대 이상,자영업,57,2호선,현금
남성,10대,학생,72,1호선,현금
여성,30대,기타,62,8호선,현금
남성,10대,무직,50,9호선,신용카드
여성,30대,학생,79,1호선,교통카드
여성,10대,무직,4,9호선,현금
남성,30대,자영업,81,7호선,신용카드
남성,50대,기타,67,1호선,교통카드
남성,50대,학생,66,9호선,신용카드
여성,60대 이상,무직,36,2호선,신용카드
남성,60대 이상,무직,49,9호선,신용카드
여성,10대,무직,85,5호선,현금
남성,20대,회사원,98,5호선,교통카드
여성,40대,회사원,89,2호선,교통카드
남성,30대,회사원,65,1호선,현금
남성,50대,학생,99,1호선,신용카드
여성,20대,기타,64,9호선,신용카드
남성,10대,자영업,8,4호선,교통카드
여성,40대,자영업,70,8호선,교통카드
여성,20대,무직,39,8호선,현금
남성,10대,기타,9,3호선,교통카드
여성,50대,회사원,28,6호선,신용카드
남성,40대,무직,21,8호선,신용카드
여성,50대,자영업,81,2호선,교통카드
여성,40대,자영업,80,7호선,현금
남성,60대 이상,학생,33,9호선,현금
여성,50대,회사원,87,7호선,교통카드
남성,20대,자영업,88,9호선,신용카드
여성,60대 이상,기타,22,7호선,현금
여성,60대 이상,회사원,75,9호선,현금
여성,50대,무직,31,5호선,신용카드
남성,60대 이상,학생,73,7호선,신용카드
여성,10대,회사원,95,8호선,신용카드
여성,30대,기타,10,9호선,교통카드
여성,20대,기타,8,9호선,교통카드
남성,20대,학생,71,6호선,교통카드
여성,50대,기타,63,5호선,교통카드
여성,20대,회사원,59,4호선,신용카드
남성,20대,회사원,66,3호선,교통카드
남성,50대,기타,36,2호선,현금
여성,40대,학생,54,2호선,신용카드
여성,50대,무직,79,6호선,현금
남성,30대,무직,62,5호선,현금
여성,40대,학생,68,2호선,현금
남성,60대 이상,무직,24,2호선,교통카드
남성,50대,무직,22,8호선,교통카드
여성,10대,자영업,49,9호선,현금
여성,40대,무직,4,1호선,현금
여성,10대,기타,41,5호선,교통카드
여성,50대,학생,9,6호선,현금
남성,50대,회사원,16,8호선,현금
여성,40대,회사원,7,2호선,교통카드
남성,10대,자영업,26,3호선,신용카드
여성,20대,무직,93,4호선,교통카드
여성,50대,무직,73,9호선,신용카드
남성,50대,무직,67,7호선,현금
남성,20대,회사원,33,4호선,교통카드
남성,10대,기타,5,4호선,현금
남성,50대,자영업,79,6호선,신용카드
남성,60대 이상,회사원,40,1호선,교통카드
남성,10대,학생,42,1호선,교통카드
남성,30대,자영업,87,3호선,신용카드
여성,50대,학생,30,7호선,현금
남성,60대 이상,무직,58,8호선,현금
남성,40대,무직,91,6호선,현금
여성,50대,무직,45,2호선,신용카드
남성,30대,회사원,79,6호선,교통카드
남성,50대,무직,21,8호선,신용카드
여성,10대,기타,52,9호선,현금
남성,20대,자영업,32,3호선,현금
남성,30대,기타,41,2호선,신용카드
여성,30대,자영업,79,6호선,신용카드
여성,10대,자영업,97,3호선,현금
여성,60대 이상,자영업,35,7호선,교통카드
여성,20대,회사원,64,5호선,현금
여성,50대,자영업,39,3호선,현금
여성,40대,학생,18,8호선,교통카드
남성,10대,학생,18,1호선,신용카드
남성,20대,기타,40,2호선,신용카드
남성,10대,학생,12,4호선,교통카드
남성,60대 이상,회사원,59,2호선,교통카드
남성,40대,기타,80,2호선,현금
여성,20대,자영업,82,2호선,교통카드
여성,50대,무직,97,8호선,현금
여성,40대,학생,54,2호선,교통카드
남성,60대 이상,자영업,87,4호선,현금
남성,60대 이상,자영업,61,3호선,신용카드
남성,40대,자영업,48,9호선,현금
남성,50대,무직,13,7호선,현금
여성,40대,무직,69,8호선,교통카드
여성,30대,학생,12,8호선,신용카드
여성,20대,기타,30,3호선,교통카드
남성,20대,무직,46,9호선,신용카드
남성,60대 이상,학생,91,3호선,현금
남성,10대,자영업,69,5호선,현금
여성,40대,무직,33,3호선,교통카드
남성,10대,무직,35,8호선,신용카드
남성,30대,학생,35,9호선,신용카드
여성,20대,기타,15,4호선,교통카드
남성,20대,자영업,73,1호선,현금
남성,60대 이상,자영업,25,9호선,현금
남성,60대 이상,학생,34,1호선,신용카드
여성,60대 이상,회사원,4,3호선,교통카드
여성,50대,자영업,4,1호선,교통카드
남성,60대 이상,자영업,76,9호선,교통카드
여성,60대 이상,기타,27,8호선,교통카드
여성,20대,무직,80,8호선,교통카드
여성,60대 이상,기타,75,1호선,신용카드
여성,30대,학생,7,6호선,신용카드
남성,20대,자영업,21,5호선,신용카드
여성,40대,기타,45,7호선,신용카드
남성,40대,기타,1,6호선,현금
여성,30대,무직,72,3호선,현금
여성,10대,회사원,83,1호선,신용카드
여성,30대,무직,54,9호선,신용카드
남성,60대 이상,기타,39,3호선,교통카드
여성,60대 이상,회사원,57,6호선,현금
여성,20대,자영업,83,3호선,현금
여성,10대,무직,97,8호선,현금
남성,20대,회사원,85,5호선,교통카드
여성,30대,무직,58,4호선,현금
여성,60대 이상,자영업,95,4호선,교통카드
남성,20대,무직,29,9호선,교통카드
남성,10대,자영업,56,8호선,신용카드
남성,40대,학생,8,4호선,현금
남성,50대,기타,96,1호선,교통카드
남성,50대,기타,89,3호선,신용카드
여성,50대,자영업,64,9호선,신용카드
남성,20대,학생,13,9호선,현금
여성,10대,자영업,55,9호선,교통카드
남성,30대,회사원,74,2호선,현금
여성,10대,기타,28,8호선,현금
여성,30대,학생,85,4호선,현금
남성,50대,회사원,5,8호선,현금
남성,30대,자영업,31,6호선,신용카드
여성,60대 이상,기타,53,5호선,교통카드
남성,50대,기타,48,4호선,교통카드
남성,40대,기타,99,6호선,신용카드
남성,10대,자영업,78,4호선,현금
여성,20대,기타,16,4호선,현금
여성,60대 이상,기타,1,8호선,교통카드
남성,30대,학생,50,1호선,현금
여성,20대,학생,37,1호선,현금
남성,30대,기타,57,9호선,교통카드
여성,50대,자영업,35,5호선,현금
남성,60대 이상,무직,28,3호선,현금
여성,30대,회사원,70,1호선,현금
남성,30대,회사원,73,1호선,교통카드
남성,10대,학생,25,1호선,교통카드
남성,60대 이상,자영업,92,1호선,교통카드
여성,60대 이상,자영업,64,6호선,현금
남성,10대,학생,39,5호선,교통카드
남성,40대,학생,39,4호선,현금
남성,50대,기타,61,3호선,교통카드
남성,40대,회사원,62,5호선,신용카드
여성,20대,자영업,33,5호선,신용카드
남성,30대,회사원,62,7호선,교통카드
여성,60대 이상,회사원,88,6호선,현금
남성,40대,자영업,29,6호선,현금
남성,40대,학생,35,7호선,현금
남성,40대,학생,5,2호선,현금
여성,10대,기타,64,8호선,신용카드
남성,10대,자영업,44,5호선,신용카드
여성,10대,회사원,37,2호선,교통카드
남성,20대,기타,80,3호선,현금
여성,40대,기타,78,1호선,신용카드
남성,50대,기타,96,2호선,현금
남성,30대,회사원,14,5호선,교통카드
여성,20대,학생,22,8호선,교통카드
남성,60대 이상,무직,60,6호선,신용카드
남성,20대,학생,77,1호선,신용카드
남성,30대,회사원,77,5호선,교통카드
남성,30대,회사원,40,9호선,현금
남성,20대,회사원,96,5호선,현금
남성,40대,기타,52,6호선,현금
남성,60대 이상,자영업,26,9호선,신용카드
남성,10대,학생,86,6호선,현금
남성,60대 이상,자영업,58,1호선,교통카드
여성,60대 이상,자영업,76,1호선,현금
남성,50대,회사원,51,2호선,신용카드
남성,60대 이상,학생,9,6호선,현금
여성,60대 이상,회사원,99,6호선,신용카드
여성,20대,회사원,33,3호선,신용카드
여성,30대,무직,45,3호선,현금
여성,40대,자영업,27,1호선,신용카드
남성,10대,무직,50,2호선,신용카드
남성,10대,자영업,99,5호선,현금
여성,10대,기타,22,4호선,현금
여성,40대,자영업,35,6호선,현금
남성,40대,회사원,10,1호선,교통카드
남성,50대,회사원,58,2호선,신용카드
남성,30대,기타,11,7호선,교통카드
남성,60대 이상,학생,54,8호선,교통카드
여성,10대,회사원,44,3호선,신용카드
남성,10대,학생,73,2호선,교통카드
남성,10대,기타,11,3호선,현금
남성,30대,자영업,33,8호선,신용카드
여성,30대,기타,40,3호선,신용카드
여성,20대,회사원,99,3호선,교통카드
남성,10대,기타,35,9호선,신용카드
여성,60대 이상,무직,78,3호선,신용카드
여성,10대,무직,31,3호선,신용카드
남성,60대 이상,기타,96,4호선,현금
남성,10대,학생,42,9호선,신용카드
남성,30대,자영업,59,2호선,현금
여성,20대,회사원,81,2호선,신용카드
남성,20대,기타,72,9호선,현금
여성,10대,기타,24,1호선,신용카드
남성,40대,학생,46,5호선,현금
남성,40대,학생,75,4호선,현금
남성,30대,회사원,15,8호선,신용카드
남성,30대,회사원,86,4호선,교통카드
여성,10대,기타,22,6호선,신용카드
여성,30대,자영업,1,2호선,신용카드
남성,20대,무직,66,4호선,현금
여성,60대 이상,회사원,92,8호선,신용카드
여성,60대 이상,자영업,20,2호선,현금
남성,50대,학생,3,9호선,신용카드
남성,30대,자영업,34,2호선,신용카드
여성,60대 이상,무직,58,7호선,교통카드
남성,20대,회사원,69,3호선,신용카드
남성,60대 이상,무직,94,9호선,현금
여성,50대,자영업,72,9호선,교통카드
남성,60대 이상,무직,31,4호선,현금
남성,20대,무직,98,8호선,현금
여성,60대 이상,기타,17,9호선,교통카드
남성,30대,자영업,62,7호선,신용카드
여성,20대,기타,4,4호선,교통카드
남성,10대,자영업,28,2호선,교통카드
남성,30대,무직,47,1호선,현금
여성,20대,무직,81,2호선,교통카드
여성,30대,회사원,57,7호선,신용카드
남성,60대 이상,학생,16,8호선,교통카드
여성,50대,무직,39,5호선,현금
남성,60대 이상,기타,90,3호선,교통카드
여성,30대,무직,40,4호선,현금
여성,60대 이상,자영업,76,7호선,현금
남성,20대,무직,25,8호선,교통카드
여성,60대 이상,자영업,12,2호선,현금
남성,40대,무직,72,3호선,교통카드
여성,60대 이상,자영업,61,4호선,교통카드
남성,20대,회사원,75,3호선,현금
여성,10대,회사원,69,1호선,교통카드
여성,40대,기타,80,9호선,교통카드
여성,50대,자영업,14,2호선,현금
남성,30대,무직,50,7호선,신용카드
여성,40대,학생,88,7호선,교통카드
남성,60대 이상,학생,43,9호선,신용카드
여성,30대,무직,92,3호선,신용카드
남성,60대 이상,자영업,96,2호선,교통카드
남성,20대,학생,17,9호선,교통카드
여성,60대 이상,회사원,40,6호선,현금
남성,40대,무직,80,6호선,현금
남성,30대,기타,80,9호선,교통카드
여성,60대 이상,무직,32,7호선,현금
여성,30대,회사원,15,1호선,현금
남성,10대,기타,21,7호선,현금
여성,40대,자영업,23,5호선,현금
남성,60대 이상,무직,81,6호선,교통카드
남성,20대,기타,14,8호선,현금
남성,30대,자영업,57,1호선,신용카드
여성,60대 이상,기타,78,3호선,신용카드
여성,50대,무직,19,2호선,현금
남성,30대,자영업,53,7호선,신용카드
남성,40대,학생,96,6호선,교통카드
여성,60대 이상,자영업,2,4호선,교통카드
여성,40대,학생,100,8호선,현금
여성,10대,기타,27,4호선,신용카드
남성,20대,학생,45,1호선,교통카드
남성,50대,자영업,32,4호선,현금
남성,50대,자영업,57,4호선,현금
남성,30대,자영업,6,5호선,교통카드
여성,30대,자영업,46,8호선,현금
여성,60대 이상,기타,86,7호선,현금
남성,10대,학생,24,5호선,신용카드
남성,50대,학생,79,9호선,현금
여성,10대,회사원,53,2호선,현금
여성,60대 이상,기타,70,4호선,현금
남성,20대,회사원,97,3호선,교통카드
여성,30대,기타,8,4호선,신용카드
남성,60대 이상,학생,66,1호선,신용카드
남성,60대 이상,기타,35,9호선,신용카드
여성,40대,자영업,79,2호선,교통카드
남성,60대 이상,무직,67,8호선,신용카드
남성,60대 이상,학생,30,1호선,신용카드
여성,50대,회사원,9,7호선,현금
남성,30대,회사원,43,8호선,교통카드
남성,40대,학생,78,2호선,교통카드
여성,10대,자영업,39,4호선,현금
남성,10대,기타,17,2호선,신용카드
여성,20대,자영업,3,6호선,현금
여성,30대,무직,78,9호선,신용카드
여성,10대,학생,32,7호선,현금
여성,60대 이상,무직,33,5호선,교통카드
여성,60대 이상,기타,93,6호선,현금
남성,20대,자영업,97,7호선,현금
여성,40대,회사원,17,6호선,교통카드
여성,10대,무직,95,9호선,교통카드
남성,30대,학생,74,3호선,현금
남성,60대 이상,회사원,31,4호선,현금
남성,50대,회사원,98,5호선,현금
남성,10대,학생,58,3호선,교통카드
남성,30대,기타,15,3호선,신용카드
남성,40대,무직,96,7호선,신용카드
여성,60대 이상,기타,62,4호선,교통카드
남성,10대,자영업,97,7호선,교통카드
남성,30대,기타,72,1호선,현금
남성,20대,회사원,14,8호선,신용카드
남성,20대,학생,79,2호선,현금
여성,20대,학생,13,9호선,신용카드
남성,30대,회사원,55,6호선,신용카드
여성,10대,학생,97,1호선,교통카드
남성,30대,무직,21,9호선,신용카드
남성,50대,회사원,17,9호선,신용카드
남성,30대,기타,22,5호선,신용카드
여성,20대,무직,42,3호선,현금
남성,60대 이상,기타,86,5호선,신용카드
여성,60대 이상,기타,70,7호선,교통카드
여성,10대,자영업,45,2호선,현금
남성,30대,기타,44,8호선,교통카드
여성,20대,학생,43,3호선,교통카드
여성,40대,자영업,1,8호선,교통카드
남성,40대,무직,7,3호선,교통카드
여성,20대,무직,12,4호선,현금
여성,60대 이상,기타,95,6호선,현금
남성,30대,자영업,83,6호선,교통카드
남성,20대,기타,14,4호선,현금
여성,50대,기타,95,8호선,현금
여성,60대 이상,학생,10,4호선,신용카드
남성,40대,회사원,70,5호선,교통카드
남성,20대,자영업,82,3호선,교통카드
남성,10대,회사원,2,2호선,교통카드
남성,30대,학생,1,5호선,현금
남성,10대,기타,81,5호선,신용카드
여성,40대,기타,31,3호선,신용카드
남성,20대,회사원,93,4호선,현금
남성,20대,학생,95,9호선,현금
여성,30대,회사원,37,2호선,신용카드
남성,10대,기타,9,7호선,현금
남성,10대,기타,11,3호선,현금
여성,60대 이상,학생,86,1호선,신용카드
