瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥绊扁柯(∑C),弥历扁柯(∑C),岿钦碍荐樊(00~24h父)(mm)
108,辑匡,2013-01,-3.4,11.5,-16.4,22.1
108,辑匡,2013-02,-1.2,13.9,-15.8,74.1
108,辑匡,2013-03,5.1,23.8,-4.4,27.3
108,辑匡,2013-04,10,21.6,1.3,71.7
108,辑匡,2013-05,18.2,31.8,7.9,132
108,辑匡,2013-06,24.4,32.6,16.3,28.3
108,辑匡,2013-07,25.5,31.3,20.5,676.2
108,辑匡,2013-08,27.7,33.9,21.1,148.6
108,辑匡,2013-09,21.8,31.1,10.9,138.5
108,辑匡,2013-10,15.8,28.1,4.3,13.5
108,辑匡,2013-11,6.2,20.7,-6.4,46.8
108,辑匡,2013-12,-.2,11,-9.8,24.7
108,辑匡,2014-01,-.7,8.2,-10.5,13
108,辑匡,2014-02,1.9,16.4,-10.5,16.2
108,辑匡,2014-03,7.9,23.8,-4.6,7.2
108,辑匡,2014-04,14,26.2,2.3,31
108,辑匡,2014-05,18.9,33.3,6.8,63
108,辑匡,2014-06,23.1,31.1,17.3,98.1
108,辑匡,2014-07,26.1,34.4,19.1,207.9
108,辑匡,2014-08,25.2,35.8,18.3,172.8
108,辑匡,2014-09,22.1,31.3,14.9,88.1
108,辑匡,2014-10,15.6,29,2.7,52.2
108,辑匡,2014-11,9,22.9,-3.1,41.5
108,辑匡,2014-12,-2.9,7.9,-13.2,17.9
108,辑匡,2015-01,-.9,9,-9.8,11.3
108,辑匡,2015-02,1,13,-13,22.7
108,辑匡,2015-03,6.3,21.9,-6.9,9.6
108,辑匡,2015-04,13.3,28.3,3.5,80.5
108,辑匡,2015-05,18.9,32.2,8.3,28.9
108,辑匡,2015-06,23.6,34.9,15.6,99
108,辑匡,2015-07,25.8,36,18.2,226
108,辑匡,2015-08,26.3,34.4,18.9,72.9
108,辑匡,2015-09,22.4,31,14.2,26
108,辑匡,2015-10,15.5,26.6,1.1,81.5
108,辑匡,2015-11,8.9,21,-7.3,104.6
108,辑匡,2015-12,1.6,12.2,-9.5,29.1
108,辑匡,2016-01,-3.2,9.5,-18,1
108,辑匡,2016-02,.2,14.4,-10,47.6
108,辑匡,2016-03,7,21.4,-7.5,40.5
108,辑匡,2016-04,14.1,29.6,5.1,76.8
108,辑匡,2016-05,19.6,31.9,8.9,160.5
108,辑匡,2016-06,23.6,32.2,17.1,54.4
108,辑匡,2016-07,26.2,34.1,19.8,358.2
108,辑匡,2016-08,28,36.6,16.1,67.1
108,辑匡,2016-09,23.1,31.1,14.3,33
108,辑匡,2016-10,16.1,29,.7,74.8
108,辑匡,2016-11,6.8,18.6,-6.2,16.7
108,辑匡,2016-12,1.2,13.6,-9.8,61.1
108,辑匡,2017-01,-1.8,11.4,-12.6,14.9
108,辑匡,2017-02,-.2,12.3,-9.3,11.1
108,辑匡,2017-03,6.3,18.9,-5.3,7.9
108,辑匡,2017-04,13.9,27.8,3.1,61.6
108,辑匡,2017-05,19.5,30.3,10,16.1
108,辑匡,2017-06,23.3,34.1,14.5,66.6
108,辑匡,2017-07,26.9,35.4,21.9,621
108,辑匡,2017-08,25.9,35.3,16.1,297
108,辑匡,2017-09,22.1,31.4,11.2,35
108,辑匡,2017-10,16.4,29.4,2.5,26.5
108,辑匡,2017-11,5.6,18.4,-6.6,40.7
108,辑匡,2017-12,-1.9,8.7,-12.3,34.8
108,辑匡,2018-01,-4,8.7,-17.8,8.5
108,辑匡,2018-02,-1.6,10.4,-13.4,29.6
108,辑匡,2018-03,8.1,22.1,-6.7,49.5
108,辑匡,2018-04,13,26.3,.1,130.3
108,辑匡,2018-05,18.2,29.6,6.9,222
108,辑匡,2018-06,23.1,32.9,16.3,171.5
108,辑匡,2018-07,27.8,38.3,17.7,185.6
108,辑匡,2018-08,28.8,39.6,20.2,202.6
108,辑匡,2018-09,21.5,30.9,10.8,68.5
108,辑匡,2018-10,13.1,25.6,.7,120.5
108,辑匡,2018-11,7.8,19.4,-3.1,79.1
108,辑匡,2018-12,-.6,13.5,-14.4,16.4
108,辑匡,2019-01,-.9,8.5,-10.1,0
108,辑匡,2019-02,1,14.5,-10.2,23.8
108,辑匡,2019-03,7.1,17.6,-1.7,26.8
108,辑匡,2019-04,12.1,28.2,.3,47.3
108,辑匡,2019-05,19.4,33.4,8.4,37.8
108,辑匡,2019-06,22.5,32.8,14.1,74
108,辑匡,2019-07,25.9,36.1,19.3,194.4
108,辑匡,2019-08,27.2,36.8,18.5,190.5
108,辑匡,2019-09,22.6,30.5,13.6,139.8
108,辑匡,2019-10,16.4,28.2,4.7,55.5
108,辑匡,2019-11,7.6,22.1,-4.6,78.8
108,辑匡,2019-12,1.4,12.9,-10.9,22.6
108,辑匡,2020-01,1.6,11.9,-6.5,60.5
108,辑匡,2020-02,2.5,15.6,-11.8,53.1
108,辑匡,2020-03,7.7,20.6,-2.8,16.3
108,辑匡,2020-04,11.1,23.8,1.9,16.9
108,辑匡,2020-05,18,30,9.2,112.4
108,辑匡,2020-06,23.9,35.4,14.8,139.6
108,辑匡,2020-07,24.1,32.9,17.2,270.4
108,辑匡,2020-08,26.5,34.5,21.5,675.7
108,辑匡,2020-09,21.4,29.5,13.6,181.5
108,辑匡,2020-10,14.3,23.6,3.2,0
108,辑匡,2020-11,8,20,-3.6,120.1
108,辑匡,2020-12,-.3,11.4,-12.9,4.6
108,辑匡,2021-01,-2.4,13.9,-18.6,18.9
108,辑匡,2021-02,2.7,17.4,-10.6,7.1
108,辑匡,2021-03,9,22.9,-1.2,110.9
108,辑匡,2021-04,14.2,28.2,3.1,124.1
108,辑匡,2021-05,17.1,30.8,7.3,183.1
108,辑匡,2021-06,22.8,31.6,13.3,104.6
108,辑匡,2021-07,28.1,36.5,19.6,168.3
108,辑匡,2021-08,25.9,33.7,18.1,211.2
108,辑匡,2021-09,22.6,30.3,16,131
108,辑匡,2021-10,15.6,28.8,1.3,57
108,辑匡,2021-11,8.2,21.3,-3.7,62.4
108,辑匡,2021-12,.6,13.3,-15.5,7.9
108,辑匡,2022-01,-2.2,8.4,-11.3,5.5
108,辑匡,2022-02,-1.1,11.5,-10.7,4.7
108,辑匡,2022-03,7.7,19.5,-3,102.6
108,辑匡,2022-04,14.8,28.7,3.5,20.4
108,辑匡,2022-05,19.1,30.7,7.9,7.5
108,辑匡,2022-06,23.3,32.7,14.9,393.8
108,辑匡,2022-07,27.3,36.1,20.8,252.3
108,辑匡,2022-08,25.7,32.9,16.1,564.8
108,辑匡,2022-09,22.4,32.5,12.3,201.5
108,辑匡,2022-10,14.6,27.6,4.4,124.1
108,辑匡,2022-11,10,22.1,-8.1,84.5
108,辑匡,2022-12,-2.8,10.2,-13.7,13.6
159,何魂,2013-01,2.5,13.3,-8.1,22.5
159,何魂,2013-02,4.7,17.2,-10.7,46.6
159,何魂,2013-03,10.2,19.3,-2,93.7
159,何魂,2013-04,12.6,23.4,3.5,136.2
159,何魂,2013-05,18.2,28.1,10,201
159,何魂,2013-06,21.9,27.8,15.5,159
159,何魂,2013-07,26.1,31.9,21.8,131
159,何魂,2013-08,28,35,21.3,144.5
159,何魂,2013-09,23.7,31.4,17.3,30.2
159,何魂,2013-10,18.9,29.8,9.1,91.2
159,何魂,2013-11,10.9,23.8,-.8,61.6
159,何魂,2013-12,5.4,14.5,-4,12.6
159,何魂,2014-01,5,15.5,-5.4,9.6
159,何魂,2014-02,5.8,17.5,-5.6,44.1
159,何魂,2014-03,9.8,21.6,-.6,136.7
159,何魂,2014-04,14.6,23.9,4.1,147.8
159,何魂,2014-05,18.7,27.7,10.4,145.9
159,何魂,2014-06,21.4,29.9,16.5,44.5
159,何魂,2014-07,24.8,32.9,19.3,169.3
159,何魂,2014-08,24.2,32.2,19.4,642.2
159,何魂,2014-09,22.7,30.6,17.2,128.7
159,何魂,2014-10,17.9,25.7,10.9,162.5
159,何魂,2014-11,12.7,21.6,1.8,40.5
159,何魂,2014-12,3.5,15.2,-6,21.3
159,何魂,2015-01,4.7,13.9,-4.9,50.7
159,何魂,2015-02,5.4,15.4,-7.8,30.5
159,何魂,2015-03,9.5,20.9,-4.1,76.5
159,何魂,2015-04,13.9,23.9,5.9,268
159,何魂,2015-05,18.8,30.2,12.3,183
159,何魂,2015-06,21,28.1,13.7,69.2
159,何魂,2015-07,23.9,31.9,18.4,176.7
159,何魂,2015-08,26.1,33.5,20.5,132.5
159,何魂,2015-09,22.1,28.8,17,172
159,何魂,2015-10,18.1,26.5,5.8,62
159,何魂,2015-11,13.6,23.6,1.1,124.1
159,何魂,2015-12,7.9,17.3,-2.5,51.5
159,何魂,2016-01,3.1,16.6,-10.2,59.5
